label,statement,cleaned_statement,label_encoded,binary_label
pants-fire,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",says that in a hearing rep gabrielle giffords suggested to gen david petraeus that the army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output,4,0
half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",every single one of the  republican senators who just blocked a raise in the minimum wage will receive a  costofliving adjustment on january,2,1
true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",in texas the no  name for new male babies many of whom will vote one day is jose,5,1
mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people,3,1
false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",under the cash for clunkers program all weve got to do is  go to a local junkyard all youve got to do is tow it to your house and youre going to get,1,0
false,Not one Republican has the guts to recognize that climate change is real.,not one republican has the guts to recognize that climate change is real,1,0
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",while our people work longer hours for lower wages almost all new income goes to the top  percent,2,1
pants-fire,David Dewhurst has a record of promoting an income tax.,david dewhurst has a record of promoting an income tax,4,0
mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons,3,1
barely-true,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",in the past year more than  percent of americans have changed their mind about the war in afghanistan they conclude we shouldnt be there,0,0
false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",in the last five years  people have been killed along the usmexico border,1,0
barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation,0,0
false,Says Obama health reform law denies millions access to affordable insurance.,says obama health reform law denies millions access to affordable insurance,1,0
barely-true,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,says hb hasnt moved the needle one iota on north carolinas economy,0,0
false,Close to 30% of our federal prison population consists of illegal immigrants.,close to  of our federal prison population consists of illegal immigrants,1,0
